nll_mean,nli_flag_gpt_label,nli_flag_ent_label,nll_ent_0,nll_ent_1,nll_ent_-1,mi_mean,nli_flag_ent_output,mi_ent_0,mi_ent_1,mi_ent_-1
0.009066147975817765,,1,0.008251956331390564,0.3209015477914363,,,1,,,
0.0420058529575679,,1,0.0420058529575679,,,,1,,,
0.0865954003074787,,1,0.08692192798997578,0.024228612950537354,,,1,,,
0.0028998214372262985,,1,0.0028998214372262985,,,,1,,,
0.04708928454700848,,-1,0.0422894896310193,,1.2710369881242514,,1,,,
0.0680131078339065,,-1,0.06270500224160948,,1.0818612759626376,,1,,,
0.008981360153591966,,1,0.00886122294960266,0.027314297482359962,,,-1,,,
0.18469762619744579,,-1,0.13734942002791956,0.01440863178577274,3.498997263610363,,1,,,
0.044876264442234394,,1,0.044876264442234394,,,,1,,,
0.08104529129442402,,1,0.08104529129442402,,,,1,,,
0.1276455428144209,,-1,0.11502729900390936,0.28973019736198086,1.4245562349180025,,-1,,,
0.20842220859366498,,-1,0.20729489803043896,0.3330242820084095,0.30501217015516885,,-1,,,
0.1121184923776859,,-1,0.10330851801204093,0.004796308930963278,1.24740393832811,,-1,,,
0.02100005125407023,,-1,0.021053842994269135,,0.00039781475788913667,,1,,,
0.004627645394736035,,1,0.004627645394736035,,,,1,,,
0.007135882033973455,,1,0.007135882033973455,,,,1,,,
0.05768839291950911,,1,0.043253618961786706,2.8147302188444883,,,1,,,
0.009894448761155417,,1,0.009894448761155417,,,,1,,,
0.013335622904415109,,1,0.013206539990065732,0.046251766063505784,,,1,,,
0.012695381141214193,,1,0.01271148046944729,0.0003471963864285499,,,1,,,
0.005685730879606036,,1,0.0026662516786081316,1.1621462648618035,,,1,,,
0.11078600760467754,,-1,0.10274152028787714,,0.9853367001882621,,-1,,,
0.04181211853319766,,1,0.042010237327690804,0.003971428785007447,,,-1,,,
0.013216919598548907,,-1,0.01308070062737344,0.12930534780025482,0.0014722233172506094,,-1,,,
0.18373242948423454,,-1,0.1539476823809448,,1.7878538091899827,,-1,,,
0.07222119084383986,,-1,0.06544345818955918,,1.8005430176854134,,-1,,,
0.05981228084607437,,-1,0.059417058653374176,0.17961773627515262,0.0023456697817891836,,1,,,
0.06589321456203893,,-1,0.06506280346542499,0.030646124111566073,0.6420657597191166,,-1,,,
0.0240709846598115,,1,0.0240709846598115,,,,1,,,
0.026632044576677078,,-1,0.026188271371087837,,0.3670060932636261,,-1,,,
0.0256388912357887,,1,0.025690430700238395,0.005899276351556182,,,-1,,,
0.019373486765947707,,-1,0.018312364468995822,0.15522206155583262,0.42252519726753235,,-1,,,
0.05694112542130725,,1,0.05738579214387939,0.00046845165464522626,,,1,,,
0.012895427289635109,,1,0.012895427289635109,,,,1,,,
0.0199081185876618,,-1,0.01967513419816736,0.046791380387730896,0.04407095233892733,,-1,,,
0.02038228445250212,,1,0.02038228445250212,,,,1,,,
0.034908724094771415,,-1,0.025546637951942786,0.004112261929549277,3.6634564688429236,,1,,,
0.029890793220814043,,1,0.029890793220814043,,,,1,,,
0.07581080429110425,,-1,0.0707804620282571,0.03465058797155507,0.8651189580356003,,1,,,
0.11531236147727834,,1,0.11531236147727834,,,,1,,,
0.004642876525633592,,1,0.004384891108451582,0.022396963871704593,,,1,,,
0.057901909553968046,,-1,0.05184543458378337,1.6106991370470496,0.045548352011792304,,-1,,,
0.1873611906222378,,-1,0.1721059064000095,0.005996164936732384,1.2176564888989863,,-1,,,
0.019591798613041316,,-1,0.008688981791246247,,1.404249534981015,,1,,,
0.021723639116875876,,1,0.021723639116875876,,,,1,,,
0.032462112467313155,,1,0.032462112467313155,,,,1,,,
0.013671249312422399,,1,0.013568579981513035,0.05299360305070877,,,1,,,
0.08309977174398615,,1,0.08309977174398615,,,,1,,,
0.029970050533800457,,-1,0.027310097330357185,0.001173872034996748,0.7256822676087419,,-1,,,
0.023861321833577403,,1,0.02396937123866461,0.0032238854619208723,,,1,,,
0.125514476273325,,-1,0.12065346871781943,0.0009137352462857962,1.5247243808892865,,1,,,
0.008040747924172345,,1,0.00800364497419912,0.017502000167345006,,,1,,,
0.11489424196445874,,-1,0.11043402679559096,,0.6813415684106682,,1,,,
0.005274662722554169,,1,0.005274662722554169,,,,1,,,
0.03343341829608507,,-1,0.032414367061767486,,0.16285292505441853,,1,,,
0.03591234442599974,,-1,0.036359442444929044,0.0022079754061350185,0.0003513672563713044,,-1,,,
0.09996077178722433,,1,0.09968352283694543,0.152915321290493,,,1,,,
0.07733109291462863,,-1,0.07678185451648106,0.38202027743682265,0.02961641550064087,,-1,,,
0.08965745810342558,,1,0.09034589771356918,0.002225627615189296,,,1,,,
0.011755002609351806,,1,0.011755002609351806,,,,1,,,
0.005874587910746243,,1,0.005874587910746243,,,,1,,,
0.02151845627879349,,-1,0.02154252197831707,,0.0030600647442042828,,1,,,
