nll_mean,nli_flag_gpt_label,nli_flag_ent_label,nll_ent_0,nll_ent_1,nll_ent_-1,mi_mean,nli_flag_ent_output,mi_ent_0,mi_ent_1,mi_ent_-1
8.547937252236201,,-1,8.61424923218963,0.2735243394970894,4.002261161804199,2.713459637753355,-1,2.624359722934801,11.64794295174735,4.378910382588704
9.42164265077372,,-1,9.986279017939896,0.2703716491703831,1.4620721861720085,2.3444485220631273,1,1.8625908444864294,13.800226211547852,
7.890789178218256,,-1,8.07784824721251,1.1677176639851596,1.6515100840479136,3.616662028711289,1,3.531894924922993,11.669536888599396,
9.489193478543408,,-1,9.772307451138452,0.1970915993054708,1.0220015653719505,2.1572375889421287,1,2.1572375889421287,,
8.962513292128278,,-1,9.219906978713643,0.11081390001345426,0.5644299723207951,2.620598130733318,-1,2.304076849322726,11.403620211283366,14.147987259758843
5.607441009048974,,-1,5.894605460379628,0.4994798035893057,1.807618387920015,6.160759124109366,-1,6.081214133705666,,8.051877121771536
4.991301219907503,,-1,5.400462908435973,0.6637447498064359,2.3614995554089546,7.147442209805983,-1,8.344671599757977,4.134018990882607,4.219453112040152
10.259147604136766,,-1,10.29980238885448,0.15205616503953934,9.520166397094727,1.6962100569702063,-1,1.6433817639322805,14.154164950052897,4.68316125869751
7.970314515428981,,-1,8.627445540795229,0.5053200759475345,0.2291079107671976,3.654503698014499,-1,3.160525617003441,9.903374405069785,12.348283343844944
8.006994612328223,,-1,8.389469346660922,0.14245992619544268,1.7708531532968794,3.44808362031957,-1,3.106910444097279,12.53470891714096,13.213839877735484
8.502713812195756,,-1,8.542778238205717,,2.388882403075695,2.9234049830702133,-1,2.5978191406825237,,11.220230414949615
8.550520426616762,,-1,8.692800529956177,0.19622792614003023,1.3805524110794067,2.8718831835625074,-1,2.6293975476767026,,6.35397691488266
9.067062683158534,,-1,9.625311092369216,0.24985338215317046,1.8996392987034423,2.5827615134815765,-1,2.3837145152650376,9.383118867874146,12.302949224199567
8.808100794403193,,-1,9.104679807654087,0.34433826342225077,0.3405362367630005,2.606419328949414,1,2.318345167532863,11.937517166137695,
10.183763766792254,,1,10.183763766792254,,,1.426691736948366,1,1.426691736948366,,
8.305612949077235,,-1,8.611297845351478,0.3006127845834602,1.1925937022481645,3.1411237496649846,-1,2.8675743986961812,,10.648533715142143
8.147739049709344,,-1,8.432562768111021,0.24833316123113036,2.161352623653199,3.335576876124833,-1,3.187992137332757,10.613333788785068,7.711752312523978
6.584443210659326,,1,7.581081210952112,0.1498386456622082,,4.967330994491931,-1,4.668988585740039,12.898977075304304,8.343412168564335
8.707195547739198,,-1,8.97525862436917,0.18420920359051746,7.136105537414551,2.7703293857630342,-1,2.4269323961869365,13.491267717801607,13.32625319740989
9.019018768284392,,-1,9.488265652976189,1.2623605167342198,1.4849631669265884,2.534117138265477,-1,2.3806013184493353,13.260165596008301,9.436415566338432
9.48182938893539,,1,9.700023781582713,0.3903963619636165,,2.161638875879968,-1,1.956584598676142,12.21711548169454,13.408356030782064
9.656332017463379,,1,9.828910678810383,0.36173839920333456,,2.023876062245108,1,1.9387692778989711,12.832437674204508,
10.189182041101352,,-1,10.313417972050726,0.08922368908921878,3.120016625357999,1.448557593956745,-1,1.3548141601403658,,11.63980804170881
7.118565397012087,,-1,7.624930438601454,1.181001249052908,2.4878410374124846,4.268550612750308,-1,4.016919287515433,9.842066208521524,9.541932612657547
10.108716233555848,,-1,10.184805398244714,0.41183333098888397,0.6131872534751892,1.6155157215738047,-1,1.574419997953901,,12.094925244649252
10.75223098930534,,-1,10.844045831250337,1.2420876286923885,0.1420572300752004,1.3139664441211305,-1,1.2887203930737146,,7.751709461212158
